ald_idx,name,smiles_raw,InChIKey,cho_class,xtb_risk,smiles_canonical,scaffold,scaffold_split_legacy,computable
327,N-[(2S)-3-cyclohexyl-1-oxo-1-[[(2S)-1-oxo-3-[(3S)-2-oxopyrrolidin-3-yl]propan-2-yl]amino]propan-2-yl]-1H-indole-2-carboxamide,C1CCC(CC1)C[C@@H](C(=O)N[C@@H](C[C@@H]2CCNC2=O)C=O)NC(=O)C3=CC4=CC=CC=C4N3,HPKJGHVHQWJOOT-ZJOUEHCJSA-N,aliphatic,,O=C[C@H](C[C@@H]1CCNC1=O)NC(=O)[C@H](CC1CCCCC1)NC(=O)c1cc2ccccc2[nH]1,O=C(N[C@@H](CC1CCCCC1)C(=O)NCC[C@@H]1CCNC1=O)c1cc2ccccc2[nH]1,validation,
328,2-[4-[3-(propan-2-ylamino)-2-pyridinyl]piperazine-1-carbonyl]-1H-indole-6-carbaldehyde,CC(C)NC1=C(N=CC=C1)N2CCN(CC2)C(=O)C3=CC4=C(N3)C=C(C=C4)C=O,UZTKGCXQSQAXHT-UHFFFAOYSA-N,aromatic_carbo,,CC(C)Nc1cccnc1N1CCN(C(=O)c2cc3ccc(C=O)cc3[nH]2)CC1,O=C(c1cc2ccccc2[nH]1)N1CCN(c2ccccn2)CC1,validation,
329,"diethyl 5-formyl-3-methyl-1H-pyrrole-2,4-dicarboxylate",CCOC(=O)C1=C(NC(=C1C)C(=O)OCC)C=O,WPKKEQCPXUTCDZ-UHFFFAOYSA-N,aromatic_hetero,,CCOC(=O)c1[nH]c(C=O)c(C(=O)OCC)c1C,c1cc[nH]c1,train,
330,"5,13,17-trihydroxy-7,12-dimethyl-9,15-dioxo-2,10,16-trioxatetracyclo[9.7.0.03,8.014,18]octadeca-1(11),3(8),4,6,12,14(18)-hexaene-4-carbaldehyde",CC1=CC(=C(C2=C1C(=O)OC3=C(O2)C4=C(C(=C3C)O)C(=O)OC4O)C=O)O,IEVVSJFLBYOUCJ-UHFFFAOYSA-N,aromatic_carbo,,Cc1cc(O)c(C=O)c2c1C(=O)Oc1c(C)c(O)c3c(c1O2)C(O)OC3=O,O=C1Oc2ccc3c(c2Oc2ccccc21)COC3=O,train,
331,5-(5-thiophen-2-ylthiophen-2-yl)thiophene-2-carbaldehyde,C1=CSC(=C1)C2=CC=C(S2)C3=CC=C(S3)C=O,PMPDDPJYARBNGV-UHFFFAOYSA-N,aromatic_hetero,,O=Cc1ccc(-c2ccc(-c3cccs3)s2)s1,c1csc(-c2ccc(-c3cccs3)s2)c1,train,
332,"methyl 3-formyl-2,4-dihydroxy-6-methylbenzoate",CC1=CC(=C(C(=C1C(=O)OC)O)C=O)O,PXFMUVDLJWXOQM-UHFFFAOYSA-N,aromatic_carbo,,COC(=O)c1c(C)cc(O)c(C=O)c1O,c1ccccc1,train,
333,"3-chloro-2,6-dihydroxy-4-methylbenzaldehyde",CC1=CC(=C(C(=C1Cl)O)C=O)O,IOTAGSGSURFFDS-UHFFFAOYSA-N,aromatic_carbo,,Cc1cc(O)c(C=O)c(O)c1Cl,c1ccccc1,train,
334,(2S)-2-methylbutanal,CC[C@H](C)C=O,BYGQBDHUGHBGMD-YFKPBYRVSA-N,aliphatic,,CC[C@H](C)C=O,__no_ring__CC[C@H](C)C=O,validation,
335,N-[(4-chlorophenyl)methyl]-4-[(2S)-2-formylpyrrolidin-1-yl]-4-oxobutanamide,C1C[C@H](N(C1)C(=O)CCC(=O)NCC2=CC=C(C=C2)Cl)C=O,KGDFDVHLEYUZLN-AWEZNQCLSA-N,aliphatic,,O=C[C@@H]1CCCN1C(=O)CCC(=O)NCc1ccc(Cl)cc1,O=C(CCC(=O)N1CCCC1)NCc1ccccc1,train,
336,"(2R,4aS,6aR,6aS,14aS,14bR)-9-formyl-10,11-dihydroxy-2,4a,6a,6a,14a-pentamethyl-8-oxo-1,3,4,5,6,13,14,14b-octahydropicene-2-carboxylic acid",C[C@]12CC[C@@](C[C@H]1[C@@]3(CC[C@]4(C5=CC(=C(C(=C5C(=O)C=C4[C@]3(CC2)C)C=O)O)O)C)C)(C)C(=O)O,ZDZSFWLPCFRASW-CPISFEQASA-N,aromatic_carbo,,C[C@@]1(C(=O)O)CC[C@]2(C)CC[C@]3(C)C4=CC(=O)c5c(cc(O)c(O)c5C=O)[C@]4(C)CC[C@@]3(C)[C@@H]2C1,O=C1C=C2C(CCC3C2CCC2CCCC[C@H]23)c2ccccc21,test,
337,(Z)-dec-5-enal,CCCC/C=C\CCCC=O,FJVGFBFLXXDIAP-WAYWQWQTSA-N,aliphatic,,CCCC/C=C\CCCC=O,__no_ring__CCCC/C=C\CCCC=O,train,
338,oct-6-enal,CC=CCCCCC=O,KVNBGNGISDIZRP-UHFFFAOYSA-N,aliphatic,,CC=CCCCCC=O,__no_ring__CC=CCCCCC=O,train,
339,"2-ethenyl-2,5-dimethylhex-4-enal",CC(=CCC(C)(C=C)C=O)C,FGBSITKWTRVADL-UHFFFAOYSA-N,aliphatic,,C=CC(C)(C=O)CC=C(C)C,__no_ring__CC(=CCC(C)(C=C)C=O)C,validation,
340,"1,2-dimethylcyclohex-3-ene-1-carbaldehyde",CC1C=CCCC1(C)C=O,CYGGTUUCLIFNIU-UHFFFAOYSA-N,aliphatic,,CC1C=CCCC1(C)C=O,C1=CCCCC1,train,
341,6-methyloctanal,CCC(C)CCCCC=O,ANZKSSJWPUCGOP-UHFFFAOYSA-N,aliphatic,,CCC(C)CCCCC=O,__no_ring__CCC(C)CCCCC=O,test,
342,5-hydroxy-2-nitrobenzaldehyde,C1=CC(=C(C=C1O)C=O)[N+](=O)[O-],XLYPHUGUKGMURE-UHFFFAOYSA-N,aromatic_carbo,nitro,O=Cc1cc(O)ccc1[N+](=O)[O-],c1ccccc1,train,
343,"6-nitro-1,3-benzodioxole-5-carbaldehyde",C1OC2=C(O1)C=C(C(=C2)C=O)[N+](=O)[O-],NRZWECORTTWSEF-UHFFFAOYSA-N,aromatic_carbo,nitro,O=Cc1cc2c(cc1[N+](=O)[O-])OCO2,c1ccc2c(c1)OCO2,train,
344,"2,2-diphenylacetaldehyde",C1=CC=C(C=C1)C(C=O)C2=CC=CC=C2,HLLGFGBLKOIZOM-UHFFFAOYSA-N,aliphatic,,O=CC(c1ccccc1)c1ccccc1,c1ccc(Cc2ccccc2)cc1,train,
345,3-ethoxypropanal,CCOCCC=O,RKSGQXSDRYHVTM-UHFFFAOYSA-N,aliphatic,,CCOCCC=O,__no_ring__CCOCCC=O,test,
346,4-fluoro-2-nitrobenzaldehyde,C1=CC(=C(C=C1F)[N+](=O)[O-])C=O,ORCGMGUNVGVHDN-UHFFFAOYSA-N,aromatic_carbo,nitro,O=Cc1ccc(F)cc1[N+](=O)[O-],c1ccccc1,train,
347,5-bromo-2-nitrobenzaldehyde,C1=CC(=C(C=C1Br)C=O)[N+](=O)[O-],UFRVBZVJVRHSNR-UHFFFAOYSA-N,aromatic_carbo,nitro,O=Cc1cc(Br)ccc1[N+](=O)[O-],c1ccccc1,train,
348,3-ethoxy-2-hydroxybenzaldehyde,CCOC1=CC=CC(=C1O)C=O,OFQBYHLLIJGMNP-UHFFFAOYSA-N,aromatic_carbo,,CCOc1cccc(C=O)c1O,c1ccccc1,train,
349,"1-azatricyclo[7.3.1.05,13]trideca-5,7,9(13)-triene-7-carbaldehyde",C1CC2=CC(=CC3=C2N(C1)CCC3)C=O,XIIVBURSIWWDEO-UHFFFAOYSA-N,aromatic_carbo,,O=Cc1cc2c3c(c1)CCCN3CCC2,c1cc2c3c(c1)CCCN3CCC2,train,
350,2-phenylbenzaldehyde,C1=CC=C(C=C1)C2=CC=CC=C2C=O,LCRCBXLHWTVPEQ-UHFFFAOYSA-N,aromatic_carbo,,O=Cc1ccccc1-c1ccccc1,c1ccc(-c2ccccc2)cc1,train,
351,3-hydroxybutanal,CC(CC=O)O,HSJKGGMUJITCBW-UHFFFAOYSA-N,aliphatic,,CC(O)CC=O,__no_ring__CC(CC=O)O,validation,
352,"3,4-dihydro-2H-pyran-2-carbaldehyde",C1CC(OC=C1)C=O,NPWYTMFWRRIFLK-UHFFFAOYSA-N,aliphatic,,O=CC1CCC=CO1,C1=COCCC1,train,
353,3-(4-methoxyphenyl)-2-methylpropanal,CC(CC1=CC=C(C=C1)OC)C=O,VLFBSPUPYFTTNF-UHFFFAOYSA-N,aliphatic,,COc1ccc(CC(C)C=O)cc1,c1ccccc1,train,
354,4-ethoxy-3-hydroxybenzaldehyde,CCOC1=C(C=C(C=C1)C=O)O,BCLVKHGKEGFPJV-UHFFFAOYSA-N,aromatic_carbo,,CCOc1ccc(C=O)cc1O,c1ccccc1,train,
355,4-propoxybenzaldehyde,CCCOC1=CC=C(C=C1)C=O,FGXZWMCBNMMYPL-UHFFFAOYSA-N,aromatic_carbo,,CCCOc1ccc(C=O)cc1,c1ccccc1,train,
356,"3-(4-ethylphenyl)-2,2-dimethylpropanal",CCC1=CC=C(C=C1)CC(C)(C)C=O,JFTSYAALCNQOKO-UHFFFAOYSA-N,aliphatic,,CCc1ccc(CC(C)(C)C=O)cc1,c1ccccc1,train,
357,"8-methoxytricyclo[5.2.1.02,6]decane-4-carbaldehyde",COC1CC2CC1C3C2CC(C3)C=O,UOGMZEGKCNHMBF-UHFFFAOYSA-N,aliphatic,,COC1CC2CC1C1CC(C=O)CC21,C1CC2C3CCC(C3)C2C1,test,
358,2-[(E)-hex-3-enoxy]acetaldehyde,CC/C=C/CCOCC=O,WNAJHTHKGZCCGS-ONEGZZNKSA-N,aliphatic,,CC/C=C/CCOCC=O,__no_ring__CC/C=C/CCOCC=O,train,
359,1-ethenylcyclohex-3-ene-1-carbaldehyde,C=CC1(CCC=CC1)C=O,HCJAFBYGZGXACK-UHFFFAOYSA-N,aliphatic,,C=CC1(C=O)CC=CCC1,C1=CCCCC1,train,
360,4-hydroxyhexanal,CCC(CCC=O)O,HAPLZPWSLJPZBM-UHFFFAOYSA-N,aliphatic,,CCC(O)CCC=O,__no_ring__CCC(CCC=O)O,test,
361,"2,3,4-trihydroxy-6-(hydroxymethyl)benzaldehyde",C1=C(C(=C(C(=C1O)O)O)C=O)CO,MGMUFSXXHCQPGA-UHFFFAOYSA-N,aromatic_carbo,,O=Cc1c(CO)cc(O)c(O)c1O,c1ccccc1,train,
362,"(2R,3S,4R,5R)-2-fluoro-3,4,5,6-tetrahydroxyhexanal",C([C@H]([C@H]([C@@H]([C@H](C=O)F)O)O)O)O,AOYNUTHNTBLRMT-SLPGGIOYSA-N,aliphatic,,O=C[C@H](F)[C@@H](O)[C@H](O)[C@H](O)CO,__no_ring__C([C@H]([C@H]([C@@H]([C@H](C=O)F)O)O)O)O,test,
363,3-formyl-2-hydroxybenzoic acid,C1=CC(=C(C(=C1)C(=O)O)O)C=O,YOEUNKPREOJHBW-UHFFFAOYSA-N,aromatic_carbo,,O=Cc1cccc(C(=O)O)c1O,c1ccccc1,train,
364,"2,4-dioxo-1H-pyrimidine-5-carbaldehyde",C1=C(C(=O)NC(=O)N1)C=O,OHAMXGZMZZWRCA-UHFFFAOYSA-N,aromatic_hetero,,O=Cc1c[nH]c(=O)[nH]c1=O,O=c1cc[nH]c(=O)[nH]1,train,
365,(2-hydroxy-3-oxopropyl) dihydrogen phosphate,C(C(C=O)O)OP(=O)(O)O,LXJXRIRHZLFYRP-UHFFFAOYSA-N,aliphatic,phosphorus,O=CC(O)COP(=O)(O)O,__no_ring__C(C(C=O)O)OP(=O)(O)O,train,
366,4-hydroxy-3-methylbenzaldehyde,CC1=C(C=CC(=C1)C=O)O,BAKYASSDAXQKKY-UHFFFAOYSA-N,aromatic_carbo,,Cc1cc(C=O)ccc1O,c1ccccc1,train,
367,"(2S,3R,4S)-2,3,4,5-tetrahydroxypentanal",C([C@@H]([C@H]([C@@H](C=O)O)O)O)O,PYMYPHUHKUWMLA-WISUUJSJSA-N,aliphatic,,O=C[C@@H](O)[C@H](O)[C@@H](O)CO,__no_ring__C([C@@H]([C@H]([C@@H](C=O)O)O)O)O,train,
368,6-oxo-1H-pyridine-3-carbaldehyde,C1=CC(=O)NC=C1C=O,BUMAFTGGYPBHHK-UHFFFAOYSA-N,aromatic_hetero,,O=Cc1ccc(=O)[nH]c1,O=c1cccc[nH]1,train,
369,4-methylsulfanylbutanal,CSCCCC=O,RZBUXNXJKZHGLL-UHFFFAOYSA-N,aliphatic,,CSCCCC=O,__no_ring__CSCCCC=O,validation,
370,(E)-oct-5-enal,CC/C=C/CCCC=O,ZUSUVEKHEZURSD-ONEGZZNKSA-N,aliphatic,,CC/C=C/CCCC=O,__no_ring__CC/C=C/CCCC=O,test,
371,(Z)-hex-4-enal,C/C=C\CCC=O,DPCMFIRORYQTCL-IHWYPQMZSA-N,aliphatic,,C/C=C\CCC=O,__no_ring__C/C=C\CCC=O,test,
372,3-chloro-4-hydroxy-5-methoxybenzaldehyde,COC1=C(C(=CC(=C1)C=O)Cl)O,ONIVKFDMLVBDRK-UHFFFAOYSA-N,aromatic_carbo,,COc1cc(C=O)cc(Cl)c1O,c1ccccc1,train,
373,3-hydroxynaphthalene-2-carbaldehyde,C1=CC=C2C=C(C(=CC2=C1)C=O)O,QCUNDLUTTXSPFM-UHFFFAOYSA-N,aromatic_carbo,,O=Cc1cc2ccccc2cc1O,c1ccc2ccccc2c1,train,
374,4-(trifluoromethyl)benzaldehyde,C1=CC(=CC=C1C=O)C(F)(F)F,BEOBZEOPTQQELP-UHFFFAOYSA-N,aromatic_carbo,,O=Cc1ccc(C(F)(F)F)cc1,c1ccccc1,train,
375,6-hydroxy-1H-indole-3-carbaldehyde,C1=CC2=C(C=C1O)NC=C2C=O,FAFBOYSDWMRMLQ-UHFFFAOYSA-N,aromatic_hetero,,O=Cc1c[nH]c2cc(O)ccc12,c1ccc2[nH]ccc2c1,train,
376,3-(4-methylcyclohex-3-en-1-yl)butanal,CC1=CCC(CC1)C(C)CC=O,VJYFMQREUJXCQV-UHFFFAOYSA-N,aliphatic,,CC1=CCC(C(C)CC=O)CC1,C1=CCCCC1,train,
377,"2,4,5-trimethylbenzaldehyde",CC1=CC(=C(C=C1C)C=O)C,LROJZZICACKNJL-UHFFFAOYSA-N,aromatic_carbo,,Cc1cc(C)c(C=O)cc1C,c1ccccc1,train,
378,"3,5-dimethylbenzaldehyde",CC1=CC(=CC(=C1)C=O)C,NBEFMISJJNGCIZ-UHFFFAOYSA-N,aromatic_carbo,,Cc1cc(C)cc(C=O)c1,c1ccccc1,train,
379,5-oxopentanoic acid,C(CC=O)CC(=O)O,VBKPPDYGFUZOAJ-UHFFFAOYSA-N,aliphatic,,O=CCCCC(=O)O,__no_ring__C(CC=O)CC(=O)O,train,
380,2-methylpent-4-enal,CC(CC=C)C=O,RCQKLWAPRHHRNN-UHFFFAOYSA-N,aliphatic,,C=CCC(C)C=O,__no_ring__CC(CC=C)C=O,train,
381,"2,4-difluorobenzaldehyde",C1=CC(=C(C=C1F)F)C=O,WCGPCBACLBHDCI-UHFFFAOYSA-N,aromatic_carbo,,O=Cc1ccc(F)cc1F,c1ccccc1,train,
382,1-[(4-chlorophenyl)methyl]indole-3-carbaldehyde,C1=CC=C2C(=C1)C(=CN2CC3=CC=C(C=C3)Cl)C=O,ZDRQMXCSSAPUMM-UHFFFAOYSA-N,aromatic_hetero,,O=Cc1cn(Cc2ccc(Cl)cc2)c2ccccc12,c1ccc(Cn2ccc3ccccc32)cc1,train,
383,5-methoxypyridine-3-carbaldehyde,COC1=CN=CC(=C1)C=O,YOVIXSRXKCZJRN-UHFFFAOYSA-N,aromatic_hetero,,COc1cncc(C=O)c1,c1ccncc1,train,
384,4-methoxypyridine-3-carbaldehyde,COC1=C(C=NC=C1)C=O,QWUFIMUCFQUBOT-UHFFFAOYSA-N,aromatic_hetero,,COc1ccncc1C=O,c1ccncc1,train,
385,5-methylpyridine-3-carbaldehyde,CC1=CC(=CN=C1)C=O,BCSGDXYJDSJMFA-UHFFFAOYSA-N,aromatic_hetero,,Cc1cncc(C=O)c1,c1ccncc1,train,
386,6-fluoropyridine-3-carbaldehyde,C1=CC(=NC=C1C=O)F,PZPNGWWKCSJKOS-UHFFFAOYSA-N,aromatic_hetero,,O=Cc1ccc(F)nc1,c1ccncc1,train,
387,cycloheptanecarbaldehyde,C1CCCC(CC1)C=O,UGBFRCHGZFHSBC-UHFFFAOYSA-N,aliphatic,,O=CC1CCCCCC1,C1CCCCCC1,train,
388,"1,3-benzodioxole-4-carbaldehyde",C1OC2=CC=CC(=C2O1)C=O,QZMQKPGVXNSITP-UHFFFAOYSA-N,aromatic_carbo,,O=Cc1cccc2c1OCO2,c1ccc2c(c1)OCO2,train,
389,1H-indole-2-carbaldehyde,C1=CC=C2C(=C1)C=C(N2)C=O,SBNOTUDDIXOFSN-UHFFFAOYSA-N,aromatic_hetero,,O=Cc1cc2ccccc2[nH]1,c1ccc2[nH]ccc2c1,train,
390,acridine-9-carbaldehyde,C1=CC=C2C(=C1)C(=C3C=CC=CC3=N2)C=O,ISOCABSXIKQOOV-UHFFFAOYSA-N,aromatic_hetero,,O=Cc1c2ccccc2nc2ccccc12,c1ccc2nc3ccccc3cc2c1,train,
391,2-phenylmethoxybenzaldehyde,C1=CC=C(C=C1)COC2=CC=CC=C2C=O,PBEJTRAJWCNHRS-UHFFFAOYSA-N,aromatic_carbo,,O=Cc1ccccc1OCc1ccccc1,c1ccc(COc2ccccc2)cc1,train,
392,8-hydroxyquinoline-2-carbaldehyde,C1=CC2=C(C(=C1)O)N=C(C=C2)C=O,SLBPIHCMXPQAIQ-UHFFFAOYSA-N,aromatic_hetero,,O=Cc1ccc2cccc(O)c2n1,c1ccc2ncccc2c1,train,
393,"2,4,5-trihydroxybenzaldehyde",C1=C(C(=CC(=C1O)O)O)C=O,WNCNWLVQSHZVKV-UHFFFAOYSA-N,aromatic_carbo,,O=Cc1cc(O)c(O)cc1O,c1ccccc1,train,
394,(4-formyl-2-methoxyphenyl) methanesulfonate,COC1=C(C=CC(=C1)C=O)OS(=O)(=O)C,ZNASTXYIFMYILW-UHFFFAOYSA-N,aromatic_carbo,,COc1cc(C=O)ccc1OS(C)(=O)=O,c1ccccc1,train,
395,3-hydroxy-2-methoxybenzaldehyde,COC1=C(C=CC=C1O)C=O,GRIWJVSWLJHHEM-UHFFFAOYSA-N,aromatic_carbo,,COc1c(O)cccc1C=O,c1ccccc1,train,
396,4-hydroxy-3-nitrobenzaldehyde,C1=CC(=C(C=C1C=O)[N+](=O)[O-])O,YTHJCZRFJGXPTL-UHFFFAOYSA-N,aromatic_carbo,nitro,O=Cc1ccc(O)c([N+](=O)[O-])c1,c1ccccc1,train,
397,1H-imidazole-5-carbaldehyde,C1=C(NC=N1)C=O,ZQEXIXXJFSQPNA-UHFFFAOYSA-N,aromatic_hetero,,O=Cc1cnc[nH]1,c1c[nH]cn1,train,
398,2-cyclohexylacetaldehyde,C1CCC(CC1)CC=O,JJMDTERTPNYIGZ-UHFFFAOYSA-N,aliphatic,,O=CCC1CCCCC1,C1CCCCC1,train,
399,4-butylbenzaldehyde,CCCCC1=CC=C(C=C1)C=O,ARIREUPIXAKDAY-UHFFFAOYSA-N,aromatic_carbo,,CCCCc1ccc(C=O)cc1,c1ccccc1,train,
400,(Z)-oct-5-enal,CC/C=C\CCCC=O,ZUSUVEKHEZURSD-ARJAWSKDSA-N,aliphatic,,CC/C=C\CCCC=O,__no_ring__CC/C=C\CCCC=O,validation,
401,"(2R,3S)-3-pentyloxirane-2-carbaldehyde",CCCCC[C@H]1[C@@H](O1)C=O,YWFUECKBUFORTA-YUMQZZPRSA-N,aliphatic,,CCCCC[C@@H]1O[C@H]1C=O,C1CO1,train,
402,"2,2-dimethylhexanal",CCCCC(C)(C)C=O,PGEITMLMCONAGQ-UHFFFAOYSA-N,aliphatic,,CCCCC(C)(C)C=O,__no_ring__CCCCC(C)(C)C=O,test,
403,8-hydroxyquinoline-5-carbaldehyde,C1=CC2=C(C=CC(=C2N=C1)O)C=O,LIADJWREMDHKHQ-UHFFFAOYSA-N,aromatic_carbo,,O=Cc1ccc(O)c2ncccc12,c1ccc2ncccc2c1,train,
404,"thieno[2,3-b]pyridine-2-carbaldehyde",C1=CC2=C(N=C1)SC(=C2)C=O,HGZQKYOLRLVMHZ-UHFFFAOYSA-N,aromatic_hetero,,O=Cc1cc2cccnc2s1,c1cnc2sccc2c1,train,
405,1-benzothiophene-2-carbaldehyde,C1=CC=C2C(=C1)C=C(S2)C=O,NXSVNPSWARVMAY-UHFFFAOYSA-N,aromatic_hetero,,O=Cc1cc2ccccc2s1,c1ccc2sccc2c1,train,
406,1-[(4-methylphenyl)methyl]indole-3-carbaldehyde,CC1=CC=C(C=C1)CN2C=C(C3=CC=CC=C32)C=O,RDJOPYUWTRUVCS-UHFFFAOYSA-N,aromatic_hetero,,Cc1ccc(Cn2cc(C=O)c3ccccc32)cc1,c1ccc(Cn2ccc3ccccc32)cc1,train,
407,2-(3-formyl-2-methylindol-1-yl)acetic acid,CC1=C(C2=CC=CC=C2N1CC(=O)O)C=O,SPDRKMLFDFIREG-UHFFFAOYSA-N,aromatic_hetero,,Cc1c(C=O)c2ccccc2n1CC(=O)O,c1ccc2[nH]ccc2c1,train,
408,3-(5-methylfuran-2-yl)-1-phenylpyrazole-4-carbaldehyde,CC1=CC=C(O1)C2=NN(C=C2C=O)C3=CC=CC=C3,SSPIACVNXSPAPC-UHFFFAOYSA-N,aromatic_hetero,,Cc1ccc(-c2nn(-c3ccccc3)cc2C=O)o1,c1ccc(-n2ccc(-c3ccco3)n2)cc1,train,
409,1-phenyl-3-pyridin-3-ylpyrazole-4-carbaldehyde,C1=CC=C(C=C1)N2C=C(C(=N2)C3=CN=CC=C3)C=O,FDZVXJJNBAJELS-UHFFFAOYSA-N,aromatic_hetero,,O=Cc1cn(-c2ccccc2)nc1-c1cccnc1,c1ccc(-n2ccc(-c3cccnc3)n2)cc1,train,
410,1-phenyl-3-pyridin-4-ylpyrazole-4-carbaldehyde,C1=CC=C(C=C1)N2C=C(C(=N2)C3=CC=NC=C3)C=O,RPXJROJLJRFFOF-UHFFFAOYSA-N,aromatic_hetero,,O=Cc1cn(-c2ccccc2)nc1-c1ccncc1,c1ccc(-n2ccc(-c3ccncc3)n2)cc1,train,
411,2-pyrazol-1-ylbenzaldehyde,C1=CC=C(C(=C1)C=O)N2C=CC=N2,KIGZYDJKBTYFBZ-UHFFFAOYSA-N,aromatic_carbo,,O=Cc1ccccc1-n1cccn1,c1ccc(-n2cccn2)cc1,train,
412,"4-chloro-2-(2-methoxyanilino)-1,3-thiazole-5-carbaldehyde",COC1=CC=CC=C1NC2=NC(=C(S2)C=O)Cl,WDVNWTFTIIZYPV-UHFFFAOYSA-N,aromatic_hetero,,COc1ccccc1Nc1nc(Cl)c(C=O)s1,c1ccc(Nc2nccs2)cc1,train,
413,4-(4-fluorobenzoyl)-1-methylpyrrole-2-carbaldehyde,CN1C=C(C=C1C=O)C(=O)C2=CC=C(C=C2)F,GNMRXQTZWYXHMO-UHFFFAOYSA-N,aromatic_hetero,,Cn1cc(C(=O)c2ccc(F)cc2)cc1C=O,O=C(c1ccccc1)c1cc[nH]c1,train,
414,4-pyrazol-1-ylbenzaldehyde,C1=CN(N=C1)C2=CC=C(C=C2)C=O,PPGRDLZPSDHBIC-UHFFFAOYSA-N,aromatic_carbo,,O=Cc1ccc(-n2cccn2)cc1,c1ccc(-n2cccn2)cc1,train,
415,2-fluoro-6-pyrrolidin-1-ylbenzaldehyde,C1CCN(C1)C2=C(C(=CC=C2)F)C=O,GCJAQWVHRQAPGF-UHFFFAOYSA-N,aromatic_carbo,,O=Cc1c(F)cccc1N1CCCC1,c1ccc(N2CCCC2)cc1,train,
416,"1-(1,1-dioxothiolan-3-yl)-3,5-dimethylpyrazole-4-carbaldehyde",CC1=C(C(=NN1C2CCS(=O)(=O)C2)C)C=O,DSQPOUMYQKHAFR-UHFFFAOYSA-N,aromatic_hetero,,Cc1nn(C2CCS(=O)(=O)C2)c(C)c1C=O,O=S1(=O)CCC(n2cccn2)C1,validation,
417,4-phenylmethoxy-1H-indole-3-carbaldehyde,C1=CC=C(C=C1)COC2=CC=CC3=C2C(=CN3)C=O,WURDDLFAUSUSLT-UHFFFAOYSA-N,aromatic_hetero,,O=Cc1c[nH]c2cccc(OCc3ccccc3)c12,c1ccc(COc2cccc3[nH]ccc23)cc1,train,
418,"1,5-dimethyl-3-oxo-2-phenylpyrazole-4-carbaldehyde",CC1=C(C(=O)N(N1C)C2=CC=CC=C2)C=O,QFYZFYDOEJZMDX-UHFFFAOYSA-N,aromatic_hetero,,Cc1c(C=O)c(=O)n(-c2ccccc2)n1C,O=c1cc[nH]n1-c1ccccc1,train,
419,"2-hydroxy-3,5-diiodobenzaldehyde",C1=C(C=C(C(=C1C=O)O)I)I,MYWSBJKVOUZCIA-UHFFFAOYSA-N,aromatic_carbo,,O=Cc1cc(I)cc(I)c1O,c1ccccc1,train,
420,5-methoxy-1H-indole-3-carbaldehyde,COC1=CC2=C(C=C1)NC=C2C=O,TUWARWGEOHQXCO-UHFFFAOYSA-N,aromatic_hetero,,COc1ccc2[nH]cc(C=O)c2c1,c1ccc2[nH]ccc2c1,train,
421,4-formyl-N-propan-2-ylbenzamide,CC(C)NC(=O)C1=CC=C(C=C1)C=O,OMFHZDXZIJJKFP-UHFFFAOYSA-N,aromatic_carbo,,CC(C)NC(=O)c1ccc(C=O)cc1,c1ccccc1,train,
422,4-iodobenzaldehyde,C1=CC(=CC=C1C=O)I,NIEBHDXUIJSHSL-UHFFFAOYSA-N,aromatic_carbo,,O=Cc1ccc(I)cc1,c1ccccc1,train,
423,4-pyrrolidin-1-ylbenzaldehyde,C1CCN(C1)C2=CC=C(C=C2)C=O,DATXHLPRESKQJK-UHFFFAOYSA-N,aromatic_carbo,,O=Cc1ccc(N2CCCC2)cc1,c1ccc(N2CCCC2)cc1,train,
424,1-benzothiophene-5-carbaldehyde,C1=CC2=C(C=CS2)C=C1C=O,QHHRWAPVYHRAJA-UHFFFAOYSA-N,aromatic_carbo,,O=Cc1ccc2sccc2c1,c1ccc2sccc2c1,train,
425,1-benzothiophene-3-carbaldehyde,C1=CC=C2C(=C1)C(=CS2)C=O,WDJLPQCBTBZTRH-UHFFFAOYSA-N,aromatic_hetero,,O=Cc1csc2ccccc12,c1ccc2sccc2c1,train,
426,4-propan-2-yloxybenzaldehyde,CC(C)OC1=CC=C(C=C1)C=O,WDANSDASCKBVKH-UHFFFAOYSA-N,aromatic_carbo,,CC(C)Oc1ccc(C=O)cc1,c1ccccc1,train,
427,7-methyl-1H-indole-3-carbaldehyde,CC1=C2C(=CC=C1)C(=CN2)C=O,KTUFZHVVJBHGKZ-UHFFFAOYSA-N,aromatic_hetero,,Cc1cccc2c(C=O)c[nH]c12,c1ccc2[nH]ccc2c1,train,
428,1-benzylindole-3-carbaldehyde,C1=CC=C(C=C1)CN2C=C(C3=CC=CC=C32)C=O,OXCITQLDOUGVRZ-UHFFFAOYSA-N,aromatic_hetero,,O=Cc1cn(Cc2ccccc2)c2ccccc12,c1ccc(Cn2ccc3ccccc32)cc1,train,
429,6-bromo-2-hydroxy-3-methoxybenzaldehyde,COC1=C(C(=C(C=C1)Br)C=O)O,JUPJZUTYDWXZAQ-UHFFFAOYSA-N,aromatic_carbo,,COc1ccc(Br)c(C=O)c1O,c1ccccc1,train,
430,1H-indole-5-carbaldehyde,C1=CC2=C(C=CN2)C=C1C=O,ADZUEEUKBYCSEY-UHFFFAOYSA-N,aromatic_carbo,,O=Cc1ccc2[nH]ccc2c1,c1ccc2[nH]ccc2c1,train,
